   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   1.166	   0.888	
1.000	0.000	
   1.178	   1.051	
0.000	1.000	
   1.166	   0.888	
0.000	1.000	
   1.115	   1.132	
1.000	0.000	
   1.104	   1.051	
0.000	1.000	
   1.124	   1.227	
0.000	1.000	
   1.059	   0.807	
1.000	0.000	
   1.104	   1.051	
0.000	1.000	
   1.041	   0.807	
0.000	1.000	
   0.655	   0.712	
1.000	0.000	
   0.880	   1.051	
0.000	1.000	
   0.657	   0.630	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   1.254	   1.132	
1.000	0.000	
   1.254	   1.308	
0.000	1.000	
   1.254	   0.969	
0.000	1.000	
   1.193	   1.308	
1.000	0.000	
   1.193	   1.308	
0.000	1.000	
   1.254	   1.132	
0.000	1.000	
   1.037	   0.712	
1.000	0.000	
   1.124	   1.227	
0.000	1.000	
   0.839	   0.807	
0.000	1.000	
   0.524	   0.373	
1.000	0.000	
   0.906	   1.132	
0.000	1.000	
   0.604	   0.712	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.006	   0.373	
1.000	0.000	
   0.976	   1.132	
0.000	1.000	
   0.006	   0.373	
0.000	1.000	
   0.473	   0.454	
1.000	0.000	
   1.029	   1.051	
0.000	1.000	
   0.311	   0.454	
0.000	1.000	
   1.112	   1.227	
1.000	0.000	
   1.124	   1.227	
0.000	1.000	
   1.254	   1.132	
0.000	1.000	
   1.166	   0.888	
1.000	0.000	
   1.173	   0.969	
0.000	1.000	
   1.254	   1.132	
0.000	1.000	
   0.913	   0.969	
1.000	0.000	
