750 21
   0.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   1.000	   0.314	   0.047	   0.132	   0.712	   0.234	   0.446	  -0.002	   0.129	   0.819	   0.611	   0.106	  -1.940	  -0.432	   0.108	  -1.096	   0.976	   0.163	   1.422	   0.833	   1.132	
   1.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   0.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   1.000	   0.314	   0.047	   0.132	   0.712	   0.234	   0.446	  -0.002	   0.129	   0.819	   0.611	   0.106	  -1.940	  -0.432	   0.108	  -1.096	   0.976	   0.163	   1.422	   0.833	   1.132	
   1.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   0.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   1.000	   0.314	   0.047	   0.132	   0.712	   0.234	   0.446	  -0.002	   0.129	   0.819	   0.611	   0.106	  -1.940	  -0.432	   0.108	  -1.096	   0.976	   0.163	   1.422	   0.833	   1.132	
   1.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   0.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   1.000	   0.314	   0.047	   0.132	   0.712	   0.234	   0.446	  -0.002	   0.129	   0.819	   0.611	   0.106	  -1.940	  -0.432	   0.108	  -1.096	   0.976	   0.163	   1.422	   0.833	   1.132	
   1.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   0.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   1.000	   0.314	   0.047	   0.132	   0.712	   0.234	   0.446	  -0.002	   0.129	   0.819	   0.611	   0.106	  -1.940	  -0.432	   0.108	  -1.096	   0.976	   0.163	   1.422	   0.833	   1.132	
   1.000	  -0.040	  -0.023	  -0.022	  -0.036	   2.508	  -0.035	  -0.024	  -0.025	   2.103	  -0.040	  -0.015	   0.036	  -2.386	  -0.017	  -2.055	   0.006	   2.530	   1.511	   0.484	   0.373	
   0.000	   1.455	   2.054	  -0.486	   0.525	   0.038	   3.468	   1.452	   3.996	   0.285	   1.139	   2.177	   0.035	   0.008	   3.286	  -0.077	   1.166	   0.104	   0.378	   0.928	   0.888	
   1.000	   1.808	   2.129	  -0.486	   0.525	   0.050	   2.880	   1.605	   4.486	   0.178	   1.765	   3.126	  -0.339	   0.008	   2.835	  -0.173	   1.178	   0.099	   0.457	   1.137	   1.051	
   1.000	   1.189	   1.633	  -0.177	   0.525	   0.050	   0.687	   0.406	   2.457	   0.285	   0.390	   0.014	   0.035	  -0.070	   0.083	  -0.125	   1.166	   0.104	   0.491	   0.928	   0.888	
   0.000	   1.375	   0.334	   0.287	   0.525	   0.063	   1.008	   0.869	   0.685	   0.285	   1.815	   0.283	  -0.464	   0.008	   0.408	  -0.434	   1.115	   0.120	   0.799	   1.075	   1.132	
   1.000	   1.729	   0.358	   0.596	   0.525	   0.050	   0.847	   0.814	   0.299	   0.285	   1.372	   0.082	  -0.215	  -0.049	   0.180	  -0.173	   1.104	   0.123	   0.744	   0.974	   1.051	
   1.000	   1.021	   0.451	   0.132	   0.525	   0.038	   1.463	   0.606	   0.793	   0.178	   1.090	   0.755	  -0.090	   0.065	   0.719	  -0.240	   1.124	   0.117	   0.680	   1.177	   1.227	
   0.000	   0.535	   0.233	   1.214	   1.087	   0.126	   0.152	   0.015	   0.198	   0.713	   0.390	  -0.010	  -0.714	  -0.219	  -0.007	  -0.452	   1.059	   0.137	   0.514	   0.675	   0.807	
   1.000	   0.889	   0.280	   0.750	   0.900	   0.076	   0.634	   0.193	   0.329	   0.392	   1.053	   0.117	  -0.636	  -0.049	   0.155	  -0.464	   1.104	   0.123	   0.744	   0.974	   1.051	
   1.000	   0.243	   0.230	   1.368	   0.900	   0.240	   0.981	  -0.019	   0.436	   0.713	   0.169	   0.194	  -0.214	  -0.375	   0.395	  -0.553	   1.041	   0.188	   0.701	   0.654	   0.807	
   0.000	   0.226	   0.016	   0.905	   1.274	   0.678	   0.099	  -0.017	   0.048	   1.354	   0.414	  -0.012	  -2.460	  -0.991	  -0.008	  -1.285	   0.655	   0.621	   1.026	   0.272	   0.712	
   1.000	   0.579	   0.078	   0.132	   0.712	   0.171	   0.393	   0.043	   0.143	   0.713	   0.942	   0.045	  -1.408	  -0.319	   0.070	  -0.872	   0.880	   0.194	   1.176	   0.680	   1.051	
   1.000	   0.013	   0.002	   2.604	   1.836	   1.102	   0.179	  -0.024	   0.058	   1.568	  -0.016	  -0.014	   0.035	  -1.413	   0.009	  -1.320	   0.657	   0.779	   1.122	   0.246	   0.630	
